severity,lat,long,weather,light,main cause,collosion type,occurred_from,
1,14.653108,121.0522314,4,2,1,10,23,
1,14.6509921,121.0744676,4,2,1,10,3,
3,14.69056632,121.0874569,4,2,1,10,22,
1,14.63832016,121.0745969,4,2,1,8,2,
1,14.56478912,121.0699689,1,2,1,8,1,
1,14.63696722,121.0259271,4,2,1,10,1,
3,14.615499,121.0747647,4,2,1,10,23,
1,14.58825583,120.9723473,3,2,1,10,1,
1,14.60569849,121.0186851,3,2,1,10,1,
1,14.64136857,121.0328043,6,2,1,10,1,
3,14.5956276,121.0594654,6,2,1,10,0,
1,14.65401158,121.0474706,6,2,1,10,0,
1,14.61197959,121.0596853,6,2,1,10,0,
1,14.55947242,120.9871316,6,2,1,10,23,
1,14.58113301,121.0537791,6,2,1,10,23,
1,14.62152028,121.0500133,6,2,1,10,22,
1,14.65015025,121.0471058,6,2,1,10,22,
3,14.57274316,121.0473311,6,1,1,10,22,
1,14.54100836,121.0183418,3,2,1,10,1,
1,14.62037832,121.1018229,3,2,1,10,0,
1,14.57399958,121.0485005,3,2,1,10,0,
1,14.57264971,121.0472989,3,2,1,10,0,
1,14.66144342,121.0651302,3,2,1,10,0,
1,14.5775196,121.0734558,3,2,1,10,23,
1,14.61641258,121.0523629,3,2,1,10,23,
1,14.61662021,121.0522556,3,2,1,10,23,
1,14.65137509,121.0465908,3,2,1,10,23,
1,14.58273203,121.0767925,3,2,1,10,23,
1,14.6229529,121.0854721,3,2,1,10,23,
1,14.6520913,121.0465479,3,1,1,10,22,
1,14.60735962,121.0786271,3,2,1,10,2,
3,14.52923126,120.9934938,3,2,1,10,2,
1,14.68793027,121.0309696,3,2,1,10,2,
1,14.55623249,121.0364413,4,2,1,10,0,
1,14.64629923,121.0407543,4,2,1,10,0,
3,14.58966531,121.0797436,3,2,1,10,5,
1,14.65215358,120.9659207,3,2,1,10,4,
1,14.624632,121.0838568,3,2,1,10,3,
1,14.58988595,121.0944092,3,2,1,10,3,
3,14.63131489,121.0742605,3,2,1,10,3,
3,14.6529542,121.0462597,4,2,1,10,3,
1,14.6483406,121.0743078,4,2,1,10,2,
1,14.6509921,121.0744676,4,2,1,10,2,
3,14.6591031,121.0226857,4,2,1,8,2,
1,14.63395735,121.0428724,4,2,1,10,1,
1,14.6139736,121.0536096,4,2,1,10,1,
3,14.6931463,121.0850469,4,2,1,10,1,
1,14.6185222,121.0908617,4,2,1,10,0,
3,14.5821487,121.0707202,4,2,1,10,23,
1,14.65739538,120.9995556,1,2,1,10,5,
1,14.5827528,120.9753084,4,2,1,10,4,
1,14.62357578,121.0743141,1,2,1,10,4,
1,14.57383015,121.0482154,1,2,1,10,4,
1,14.64217825,121.0418057,1,2,3,10,4,
1,14.6211393,121.0151175,4,2,1,10,2,
1,14.6415263,121.0327465,1,2,1,8,2,
1,14.6211393,121.0151175,4,2,1,10,1,
1,14.67789429,121.0320318,4,2,1,10,1,
1,14.556631,121.0629741,1,2,1,10,1,
1,14.5929216,121.0582747,4,2,1,10,1,
1,14.6041193,121.0486816,4,2,1,10,0,
1,14.56469956,121.0699371,4,2,1,10,0,
3,14.73520837,121.0577059,4,2,1,10,23,
1,14.6055059,121.0801491,4,2,1,10,23,
1,14.62032642,121.1006105,4,2,1,10,23,
1,14.63701653,121.0745079,4,2,1,10,23,
1,14.58254514,121.0769266,1,2,1,8,1,
1,14.6041762,121.0489552,1,2,1,8,0,
1,14.5586118,120.987385,1,2,1,8,0,
1,14.66387221,121.0685635,4,2,1,10,4,
1,14.58880613,121.0639608,4,2,1,10,3,
1,14.56957612,121.0461617,4,2,1,10,2,
1,14.58225441,121.0767603,4,2,1,10,2,
1,14.62427133,121.0155308,4,2,1,10,2,
1,14.56979418,121.0464621,4,2,1,10,1,
1,14.62851721,121.0133421,4,2,1,10,1,
1,14.60727657,121.0786486,4,2,1,10,1,
1,14.64372492,121.0748076,4,2,1,10,0,
1,14.63242045,121.0773826,4,2,1,10,0,
1,14.61840584,121.009748,4,2,1,10,0,
1,14.66566783,121.0713744,4,2,1,10,0,
1,14.61294899,121.0539645,4,2,1,10,23,
2,14.59977736,121.0496715,4,2,1,2,23,
1,14.61813592,121.0518157,4,2,1,10,0,
3,14.67335356,121.080392,4,2,1,10,22,
3,14.64640303,121.0405612,4,2,1,10,22,
3,14.6153862,121.0707036,4,2,1,10,22,
1,14.63987378,121.0746789,4,2,1,10,4,
1,14.5796012,121.0710987,4,2,1,10,2,
1,14.64748145,121.0458792,4,2,1,10,2,
1,14.5796012,121.0710987,4,2,3,8,1,
3,14.6573378,121.0577456,4,2,1,10,1,
1,14.5381087,120.9969587,4,2,3,4,0,
1,14.5831741,121.0021943,4,2,1,8,0,
3,14.62088053,121.104272,4,2,1,10,22,
1,14.64650683,121.074475,1,2,1,10,4,
1,14.5960429,121.0013151,1,2,1,10,4,
3,14.60742192,121.0563755,1,2,1,10,4,
1,14.61972175,121.0941162,1,2,1,10,4,
1,14.5776012,121.0735094,1,2,1,10,3,
1,14.6522565,121.0459963,1,2,1,10,2,
1,14.59333303,121.0585454,1,2,1,10,1,
3,14.68743795,121.0877401,1,2,1,10,0,
1,14.61145011,121.0286307,1,2,1,10,23,
1,14.6469669,121.0371268,1,2,1,10,23,
1,14.53982834,121.0160166,4,2,1,10,22,
1,14.57754556,121.073488,3,2,1,8,1,
1,14.5811434,121.0536397,3,2,1,10,1,
1,14.61366144,121.0538864,3,2,1,10,0,
1,14.55044308,121.0290116,3,2,1,10,23,
1,14.61541594,121.0746253,3,2,1,10,22,
1,14.6505956,121.0754076,3,2,1,10,3,
1,14.58907608,121.0572231,3,2,1,10,3,
1,14.58461139,121.0557961,3,2,1,10,2,
1,14.64626808,121.0407329,3,2,1,10,2,
1,14.57481989,121.07234,3,2,1,10,1,
1,14.5305087,121.0575235,4,2,1,10,1,
1,14.65584881,121.0745502,4,2,1,10,1,
1,14.58291893,120.9756303,4,2,1,10,1,
1,14.58904493,121.0797858,4,2,1,10,0,
1,14.65202902,121.0465157,4,2,1,10,0,
1,14.58130953,121.0534358,4,2,1,10,0,
1,14.58284625,120.9754157,4,2,1,10,23,
1,14.65217434,121.0465157,5,1,1,10,22,
3,14.52811998,121.0567188,4,2,1,10,22,
1,14.60157675,121.0467196,4,2,1,10,4,
1,14.62825769,121.0134494,4,2,1,10,3,
1,14.5893911,121.0799926,4,2,1,10,4,
1,14.57216167,121.0472775,4,2,1,10,4,
1,14.6716566,121.0683918,4,2,1,10,3,
1,14.59631285,121.079464,4,2,1,10,3,
1,14.64396367,121.0374069,4,2,1,8,2,
1,14.64390139,121.074754,4,2,1,10,2,
1,14.613406,121.0507611,4,2,1,10,23,
1,14.65714627,121.0240388,4,2,1,10,23,
3,14.70333102,121.0844314,5,2,1,10,22,
1,14.57772727,121.0732841,4,2,1,10,5,
1,14.6574753,121.0039065,4,2,1,10,5,
1,14.5880572,120.972689,4,2,1,10,4,
1,14.6076138,121.0392028,4,2,1,10,4,
1,14.6293142,121.0125375,4,2,1,10,2,
3,14.5898548,121.0792708,4,2,1,10,1,
1,14.5404284,121.0551379,4,2,1,4,0,
1,14.6390226,121.0297734,4,1,1,10,0,
1,14.7068543,121.0824493,4,2,1,10,0,
1,14.65339787,121.0466742,4,2,1,8,23,
3,14.55593654,121.0634404,5,2,1,10,22,
1,14.6513657,121.0465952,4,2,1,10,3,
1,14.66534607,121.0701299,4,2,1,10,1,
1,14.527337,120.9937456,4,2,1,10,0,
1,14.5374193,121.0011214,4,2,1,8,23,
1,14.62348235,121.0078382,4,2,1,10,22,
1,14.58261263,121.0767227,4,2,1,8,22,
1,14.62679395,121.0478354,4,2,1,8,2,
1,14.60552199,121.0791636,4,2,1,10,1,
2,14.6073181,121.0786593,4,2,1,5,1,
1,14.5938381,121.0585828,4,2,1,10,1,
1,14.66186898,121.0647869,4,2,1,10,1,
1,14.62680434,121.0478354,4,2,1,8,0,
1,14.66144342,121.0753012,4,2,1,10,0,
1,14.64648607,121.0404646,4,2,1,8,0,
1,14.63183912,121.0744858,4,2,1,10,23,
1,14.6017612,121.0049135,4,2,1,8,22,
3,14.64607086,121.0361302,4,2,1,10,2,
1,14.67694982,121.0825109,4,2,1,10,2,
1,14.62105831,121.0149729,4,2,1,10,2,
1,14.64878008,121.0450995,4,2,1,10,1,
1,14.57307544,121.0475349,4,2,1,10,0,
1,14.5615285,121.0425138,4,2,1,10,0,
1,14.66910335,121.0757625,4,2,1,10,0,
1,14.53908709,121.0123014,4,2,1,10,23,
1,14.51756778,121.0507536,4,2,1,10,23,
1,14.61423243,121.0749149,4,2,1,10,1,
1,14.64425432,121.0375464,4,2,1,10,1,
1,14.55185021,121.0310662,4,2,1,4,23,
1,14.53762277,121.000725,4,2,1,10,23,
1,14.64392215,121.0374498,3,1,1,10,22,
1,14.67714356,121.0827376,3,2,1,10,3,
1,14.64819879,121.0744643,3,2,1,10,3,
1,14.65725007,121.003536,3,2,1,10,1,
3,14.64826108,121.0742819,4,2,1,10,0,
3,14.653996,121.0529877,4,2,1,10,0,
3,14.54896326,121.0279977,3,1,1,10,22,
1,14.6221224,121.0252941,3,1,1,10,22,
1,14.6510467,121.0743303,4,2,1,10,5,
1,14.65795635,121.0959334,4,2,1,10,5,
3,14.58559778,121.0787451,4,2,1,4,3,
1,14.649013,121.0744911,4,1,1,10,1,
3,14.6488314,121.0404444,4,2,1,10,0,
1,14.58860885,121.0639286,4,2,1,10,0,
1,14.6535804,121.0460718,4,2,1,10,23,
1,14.621963,121.0500271,4,2,1,4,3,
1,14.58392825,120.9782395,4,2,1,10,3,
1,14.6368305,121.0262768,4,2,1,8,2,
1,14.5730073,121.0464077,4,2,1,10,2,
1,14.5612027,121.055876,4,2,1,10,2,
1,14.64367302,121.0370207,4,2,1,8,2,
1,14.6504268,121.0469732,4,2,1,10,1,
3,14.6149786,120.9919501,4,2,1,6,1,
3,14.6668211,121.0717123,4,2,1,10,0,
1,14.64691166,121.074357,4,2,1,10,0,
1,14.567742,121.0699805,4,2,1,10,0,
1,14.650243,121.0392006,4,2,1,8,0,
1,14.61889377,121.0938084,4,2,1,10,23,
1,14.61803211,121.0716426,4,2,1,10,23,
1,14.5330489,121.0524293,4,2,1,10,23,
1,14.60133103,121.0791376,4,2,1,10,22,
1,14.6415322,121.0327514,5,2,1,10,22,
1,14.57388194,121.0484302,4,2,1,10,2,
1,14.57762126,121.0733306,4,2,1,10,0,
1,14.67174876,121.0321418,3,2,1,10,0,
1,14.62870532,121.0465446,4,2,1,10,23,
3,14.664589,121.0688121,4,2,1,10,23,
1,14.64382416,121.0745883,4,2,1,10,22,
1,14.6513657,121.0465952,6,2,1,10,0,
1,14.6513657,121.0465952,6,2,1,10,0,
1,14.6513657,121.0465952,6,2,1,10,0,
1,14.6513657,121.0465952,6,2,1,10,0,
1,14.6513657,121.0465952,6,2,1,10,0,
1,14.6513657,121.0465952,6,2,1,10,0,
1,14.62181961,121.0060401,6,2,1,10,0,
1,14.64564873,121.0745265,6,2,1,10,0,
1,14.64564873,121.0745265,6,2,1,10,0,
1,14.63162978,121.0738517,6,2,1,10,0,
1,14.61533635,121.016565,6,2,1,10,23,
3,14.59324997,121.0583389,6,2,1,10,23,
1,14.6438052,121.0370922,4,2,1,10,2,
1,14.581456,121.0535854,4,2,1,10,2,
1,14.63363501,121.0442519,4,2,1,10,2,
3,14.61431548,121.0693789,4,2,1,10,1,
1,14.64424394,121.0376215,4,2,1,10,0,
1,14.61446083,121.070103,4,2,1,10,23,
1,14.61557167,121.0747325,3,2,1,10,23,
1,14.62830959,121.0134172,3,2,1,10,23,
3,14.66932131,121.0765243,3,2,1,10,23,
3,14.5419045,121.0193194,3,2,1,10,23,
2,14.60009207,121.0168076,2,4,1,1,21,
2,14.65772753,121.0174942,1,2,1,10,4,
1,14.63352082,121.0450673,1,2,1,10,4,
1,14.6639068,121.0364044,1,2,1,10,2,
1,14.62844109,121.0132791,1,2,1,10,2,
1,14.58279433,120.9753621,1,2,1,10,1,
1,14.63138236,121.0732949,1,2,1,10,1,
1,14.58903455,121.0692823,1,2,1,10,0,
1,14.60732848,121.0784233,4,2,1,10,0,
1,14.59293849,121.0589182,4,2,1,10,23,
1,14.66794088,121.0337591,4,2,1,10,23,
1,14.58963676,121.0799682,6,2,1,10,5,
1,14.5603447,121.0411191,6,2,1,10,4,
3,14.5213899,120.9908974,6,2,1,10,3,
1,14.66547062,121.0703659,4,2,1,10,2,
3,14.63307445,121.0193396,4,2,1,10,2,
1,14.63168341,121.0741746,4,2,1,10,22,
1,14.63178722,121.074121,5,1,1,10,22,
3,14.5572168,121.040372,6,2,1,10,5,
3,14.58902417,121.0677266,6,2,1,10,4,
1,14.54065526,121.0547233,6,2,3,7,4,
1,14.63329244,121.0198438,4,2,1,8,4,
1,14.5893911,121.0799926,4,2,1,10,3,
2,14.67167736,121.0791045,4,2,1,10,3,
3,14.549352,121.0284866,4,2,1,10,3,
3,14.5239886,121.0551669,4,2,1,10,4,
1,14.62355502,121.0078812,6,2,1,10,4,
1,14.6468754,121.0521892,6,2,1,10,3,
3,14.59183792,121.0594654,3,2,1,7,3,
1,14.62419866,121.0153484,3,2,1,10,2,
1,14.54034371,121.0169792,6,2,1,10,2,
3,14.72582828,121.0482216,3,2,1,10,1,
3,14.6014165,120.9644842,3,2,1,2,1,
3,14.66273047,121.0678768,3,2,1,10,1,
1,14.6513657,121.0465952,3,2,1,10,0,
1,14.55953473,121.0654521,6,2,1,10,0,
3,14.5892502,121.0713264,3,2,1,2,0,
3,14.60911418,121.043855,6,2,1,10,0,
1,14.6211393,121.0151175,6,2,1,10,0,
1,14.6178219,121.0556298,6,2,1,2,0,
1,14.61458022,121.0534787,6,2,1,10,0,
1,14.61642815,121.0527706,6,2,1,10,23,
1,14.59388851,121.0588002,6,2,1,2,23,
1,14.6281954,121.0133421,4,2,1,10,0,
1,14.5521929,120.9894061,4,2,1,10,0,
1,14.55223964,120.9894812,4,2,1,10,23,
1,14.62160333,121.0499489,6,2,1,10,22,
3,14.58504748,121.055882,6,1,1,10,22,
3,14.5898522,121.0799468,6,2,1,10,4,
3,14.6513657,121.0465952,3,2,1,10,0,
3,14.51703439,121.0010526,4,2,1,10,0,
1,14.62820059,121.0131705,3,2,1,10,0,
1,14.67172795,121.0321552,3,2,1,10,3,
1,14.67208733,121.0435706,3,2,1,10,0,
1,14.63473278,121.0223678,3,2,1,8,23,
1,14.63802086,121.0744295,3,2,1,10,23,
1,14.63802086,121.0744295,3,2,1,10,23,
1,14.63868262,121.074577,3,2,1,10,23,
1,14.63108132,121.0740459,3,2,1,8,23,
1,14.62339584,121.0080756,3,2,1,10,2,
1,14.56413492,120.9851253,3,2,1,10,2,
1,14.56413492,120.9851253,3,2,1,10,2,
1,14.52732028,120.9935904,4,2,1,10,1,
2,14.55953473,120.9872389,6,2,1,10,0,
1,14.66547062,121.070205,6,2,1,10,0,
1,14.57251472,121.0471916,3,1,1,10,22,
1,14.60140025,121.0792601,3,1,1,10,22,
1,14.58669838,121.0795498,4,2,1,10,5,
1,14.67173963,121.04334,4,2,3,10,4,
1,14.63344816,121.0446167,3,2,1,4,1,
1,14.58099803,121.0535645,3,2,1,10,1,
1,14.58136145,121.0535002,3,2,1,10,23,
1,14.6483461,121.074132,4,2,1,10,3,
1,14.61920522,121.0943127,4,2,1,2,3,
1,14.5404284,121.0551379,4,2,1,10,2,
1,14.5323253,120.9929442,4,2,1,10,1,
3,14.5336107,120.9929532,4,2,1,2,1,
1,14.58908647,121.0635531,4,2,1,10,23,
1,14.6311298,121.0743126,4,2,1,10,0,
1,14.56526679,121.070044,4,2,1,10,0,
1,14.58110706,121.0532963,4,2,1,10,0,
1,14.61366338,121.0538637,4,2,1,8,23,
1,14.65008797,121.0469556,4,2,1,10,22,
1,14.62154104,121.0499382,4,2,1,10,22,
1,14.59284505,121.059047,5,1,1,10,22,
1,14.63172493,121.0743785,5,1,1,10,22,
1,14.5826282,121.0768676,3,2,1,8,7,
1,14.58776783,121.0568154,3,2,1,10,5,
1,14.68744249,121.0872746,3,2,1,10,4,
1,14.5847879,121.0555601,3,2,1,8,4,
1,14.6682785,121.0337727,3,2,1,8,4,
1,14.6437872,121.0745716,3,2,1,10,4,
1,14.6682785,121.0337727,4,2,1,8,3,
1,14.58971463,121.0798717,4,2,1,10,2,
1,14.6149,121.0748865,4,2,1,8,2,
3,14.61446083,121.0700226,4,2,1,10,2,
1,14.615711,121.0413657,4,2,1,10,2,
1,14.6513657,121.0465952,4,2,1,10,1,
1,14.6574369,121.0580599,4,2,1,10,0,
1,14.64602934,121.0409689,4,2,1,8,23,
1,14.52820307,121.0564184,4,2,1,8,23,
1,14.6682785,121.0337727,4,2,1,8,23,
1,14.60142101,120.9645796,4,2,1,10,22,
1,14.66821074,121.0337806,4,2,2,10,4,
1,14.6056362,121.0789919,4,2,1,10,4,
1,14.6542425,121.0475376,4,2,1,10,3,
1,14.67161508,121.0686064,4,2,1,10,2,
1,14.63209865,121.074754,4,2,1,10,2,
1,14.65190446,121.0465372,4,2,1,10,2,
1,14.64686495,121.0744697,4,2,1,10,1,
1,14.62025375,121.1005139,4,2,1,10,1,
1,14.54009446,121.0169363,4,2,1,10,1,
1,14.65213282,121.0465586,4,2,1,10,0,
1,14.53713465,120.9935582,4,2,1,10,23,
1,14.65604602,121.0285449,4,2,1,10,23,
1,14.60971634,121.0557425,4,2,1,10,23,
1,14.63207788,121.0746467,4,2,1,10,2,
1,14.66567821,121.0715675,4,2,1,10,2,
1,14.56003836,121.0410976,4,2,1,10,23,
1,14.63350006,121.041677,3,2,1,10,5,
1,14.66580276,121.0704517,3,2,1,10,4,
3,14.65821538,120.9840095,3,2,1,10,3,
3,14.59565226,121.0014843,3,2,1,10,3,
1,14.6051985,121.0427066,3,2,1,10,2,
1,14.66784747,121.0340112,3,2,1,10,2,
1,14.5381037,121.0016366,3,2,1,10,0,
1,14.63156922,121.0737348,3,2,1,10,23,
1,14.60140025,121.0788953,4,2,3,10,4,
1,14.62351349,121.0740459,4,2,1,10,4,
3,14.67083146,121.0394186,4,2,1,10,3,
1,14.66625945,121.069808,4,2,1,10,2,
1,14.6513657,121.0465952,4,2,1,10,1,
1,14.59301117,121.0583496,4,2,1,10,0,
1,14.6513657,121.0465952,4,2,1,7,0,
1,14.6513167,120.9968735,4,2,1,8,0,
3,14.54959154,121.0256213,4,2,1,10,0,
3,14.6405471,121.042838,4,2,1,10,23,
1,14.62120235,121.0493724,4,2,1,8,3,
1,14.64376644,121.0747647,4,2,1,10,3,
1,14.57762344,121.0733217,4,2,1,8,2,
1,14.62127113,121.1046177,1,2,1,10,0,
1,14.59277756,121.0591382,1,2,1,10,0,
1,14.6311298,121.0743126,1,2,1,10,23,
1,14.63049479,121.0109335,1,2,1,10,23,
1,14.58225441,121.0541975,4,2,1,10,23,
3,14.6313268,121.0741237,1,2,1,10,22,
1,14.6716715,121.03801,2,4,1,4,21,
1,14.62080396,121.1018336,4,2,1,10,3,
1,14.56756165,121.0705054,4,2,1,8,3,
1,14.5406421,121.0172643,4,2,1,8,2,
1,14.64504322,121.0275793,4,2,1,10,1,
1,14.64671638,121.0404097,4,2,1,10,0,
3,14.69284949,121.0871565,4,2,1,10,23,
1,14.63714564,121.0419332,5,1,1,10,22,
1,14.58487096,121.0556567,5,1,1,10,22,
1,14.58523437,121.0557425,2,4,1,10,20,
1,14.62112579,121.0503244,1,2,1,10,3,
1,14.61360434,121.0536665,4,2,1,10,3,
1,14.57881753,120.9779692,4,2,1,10,1,
1,14.58790281,121.0566115,4,2,1,10,1,
3,14.55611827,121.0631025,4,2,1,10,0,
1,14.65760298,121.0583925,4,2,1,10,23,
1,14.58914876,121.0704088,4,2,1,10,23,
1,14.64635113,121.0405827,4,2,1,10,22,
1,14.64384948,121.0747647,4,2,1,10,3,
1,14.61847851,121.071943,4,2,1,10,3,
3,14.66534607,121.0701513,6,2,1,10,23,
1,14.5349615,121.0179516,4,2,1,8,5,
1,14.5489703,121.0276273,4,2,1,10,5,
1,14.68353504,121.0852522,4,2,1,10,3,
1,14.540052,121.0003354,4,2,1,8,1,
3,14.57293007,121.0466337,4,2,1,8,23,
1,14.63771463,121.0463119,3,2,1,10,4,
3,14.5938381,121.0585828,3,2,1,4,3,
3,14.6340414,121.0426045,3,2,1,10,2,
3,14.58867115,121.0429537,3,2,1,10,0,
1,14.66297958,121.0678768,3,2,1,10,23,
